oneid	user_upload_tag_no_weight	upload_crowd	enlarged_crowd	icrowd_crowd
338693562357199417	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:16	UxbhJ	NULL	NULL
80220444061542056	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:6	UxbhJ	NULL	NULL
80220506070101657	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220506071411737	trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryys4:3	UxbhJ	NULL	NULL
80220562710111636	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:4	UxbhJ	NULL	NULL
80220563247295124	trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryys4:8	UxbhJ	NULL	NULL
426795233022551481	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:11	UxbhJ	NULL	NULL
352204362312930617	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220381248076474	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:15	UxbhJ	NULL	NULL
80220467415306670	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:3	UxbhJ	NULL	NULL
265250583399634745	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:7	UxbhJ	NULL	NULL
475490403454342329	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:7	UxbhJ	NULL	NULL
442557830373956409	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:4	UxbhJ	NULL	NULL
443683729209561657	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
446779954219300281	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:5	UxbhJ	NULL	NULL
200793159483405929	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:4	UxbhJ	NULL	NULL
225531825358289977	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:2	UxbhJ	NULL	NULL
80220425272396212	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220426345999412	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220553851452690	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:5	UxbhJ	NULL	NULL
80220555462962962	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:2	UxbhJ	NULL	NULL
149181890127986714	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:5	UxbhJ	NULL	NULL
214272826289518009	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:3	UxbhJ	NULL	NULL
214835776242863033	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:16	UxbhJ	NULL	NULL
215429515477669561	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:16	UxbhJ	NULL	NULL
80220532377227039	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:2	UxbhJ	NULL	NULL
302946242999477177	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:4	UxbhJ	NULL	NULL
126382548010926587	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220407285711024	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:2	UxbhJ	NULL	NULL
80220408359777584	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220408897109680	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220615591999360	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:6	UxbhJ	NULL	NULL
80220624182519042	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:7	UxbhJ	NULL	NULL
80220481912129827	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:3	UxbhJ	NULL	NULL
80220482447978019	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:7	UxbhJ	NULL	NULL
373592061154209593	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:4	UxbhJ	NULL	NULL
373596459738046777	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:1	UxbhJ	NULL	NULL
376125335944574009	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:9	UxbhJ	NULL	NULL
376125335945084345	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:7	UxbhJ	NULL	NULL
389354659850244025	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:2	UxbhJ	NULL	NULL
80220436276832054	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:9	UxbhJ	NULL	NULL
80220437350495529	trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryys4:3	UxbhJ	NULL	NULL
321523590127126073	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:2	UxbhJ	NULL	NULL
80220533987455391	trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryys4:3	UxbhJ	NULL	NULL
80220536403523614	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:9	UxbhJ	NULL	NULL
80220536672099870	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:2	UxbhJ	NULL	NULL
80220401381667006	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:12	UxbhJ	NULL	NULL
80220401917263678	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:6	UxbhJ	NULL	NULL
80220403527739953	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220403797390897	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:10	UxbhJ	NULL	NULL
80220404065360689	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:15	UxbhJ	NULL	NULL
424257556962302777	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:7	UxbhJ	NULL	NULL
80220510097013016	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
367966960206200889	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:8	UxbhJ	NULL	NULL
240168524147195833	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:1	UxbhJ	NULL	NULL
391887934640481337	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:4	UxbhJ	NULL	NULL
395265634361734329	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220434130647734	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:2	UxbhJ	NULL	NULL
80220434130819254	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220434934700470	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:7	UxbhJ	NULL	NULL
80220435203521334	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:3	UxbhJ	NULL	NULL
454379777785264313	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
454661252762288441	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:3	UxbhJ	NULL	NULL
455224204057981497	trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryys4:8	UxbhJ	NULL	NULL
455505679571463225	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:1	UxbhJ	NULL	NULL
434113581609651641	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:7	UxbhJ	NULL	NULL
436083904836651321	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
485337626909013561	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:6	UxbhJ	NULL	NULL
80220590627889930	trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220428493381047	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:2	UxbhJ	NULL	NULL
80220429029875255	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:2	UxbhJ	NULL	NULL
80220429566203575	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:4	UxbhJ	NULL	NULL
80220611566324353	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
200792907690938796	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:9	UxbhJ	NULL	NULL
200792977215564447	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
201606452337878713	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:1	UxbhJ	NULL	NULL
202450877268051001	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:7	UxbhJ	NULL	NULL
203576777174808633	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
205265627035232569	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:2	UxbhJ	NULL	NULL
273413357724772281	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:6	UxbhJ	NULL	NULL
274820732608055737	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:7	UxbhJ	NULL	NULL
80220575596252297	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220597070875020	trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220599485842188	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220411045208496	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:4	UxbhJ	NULL	NULL
80220413729157555	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:6	UxbhJ	NULL	NULL
208361851778906681	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:2	UxbhJ	NULL	NULL
211176601545881145	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220478691029024	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:3	UxbhJ	NULL	NULL
80220519223962138	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:7	UxbhJ	NULL	NULL
80220394938265407	trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220396011488703	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:12	UxbhJ	NULL	NULL
80220606734431630	trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryys4:1	UxbhJ	NULL	NULL
294783465990658489	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:1	UxbhJ	NULL	NULL
297875292419040185	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:2	UxbhJ	NULL	NULL
198791702570834617	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:6	UxbhJ	NULL	NULL
164100186031784582	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:9	UxbhJ	NULL	NULL
80220384469885370	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220386348775485	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:2	UxbhJ	NULL	NULL
222717075591355321	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:2	UxbhJ	NULL	NULL
80220416950730162	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:4	UxbhJ	NULL	NULL
80220418292105138	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:5	UxbhJ	NULL	NULL
262998794327340219	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
281268268793376953	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220559489947157	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:6	UxbhJ	NULL	NULL
80220559757409685	trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryys4:10	UxbhJ	NULL	NULL
80220491038467237	trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220491306913829	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:15	UxbhJ	NULL	NULL
80220493185263396	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:3	UxbhJ	NULL	NULL
80220629819113733	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
347419288246764601	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:5	UxbhJ	NULL	NULL
348540788226991289	trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryys4:4	UxbhJ	NULL	NULL
350234036403102649	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:7	UxbhJ	NULL	NULL
184929199822209561	trmzgxxryyh3:腾讯视频,trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryys4:2	UxbhJ	NULL	NULL
188588254260363325	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:14	UxbhJ	NULL	NULL
188588410221363345	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:9	UxbhJ	NULL	NULL
80220638678444167	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:5	UxbhJ	NULL	NULL
252553423122340281	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:1	UxbhJ	NULL	NULL
456068629256113977	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
456350102890713273	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220631161185156	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220420976560309	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:4	UxbhJ	NULL	NULL
80220422318092725	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
119063982794342710	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:4	UxbhJ	NULL	NULL
80220565662711572	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220567810289687	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:8	UxbhJ	NULL	NULL
173107316030177814	trmzgxxryyh1:106617,trmzgxxryyn2:2083,trmzgxxryyh3:腾讯视频,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220495332565156	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:7	UxbhJ	NULL	NULL
80220495602464164	trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryys4:8	UxbhJ	NULL	NULL
80220497212654247	trmzgxxryyh1:106617,trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryys4:1	UxbhJ	NULL	NULL
80220369973705913	trmzgxxryyn2:1118,trmzgxxryyh3:爱奇艺,trmzgxxryyh1:106617,trmzgxxryys4:2	UxbhJ	NULL	NULL
